ts,raw_score,smoothed_score,band
1757811837,88.00,76.80,Moderate
1757811837,88.00,79.27,Moderate
1757811837,88.00,81.19,High
1757811837,88.00,82.69,High
1757811837,88.00,83.86,High
1757811837,88.00,84.77,High
1757811837,88.00,85.48,High
1757811838,88.00,86.03,High
1757811838,88.00,86.47,High
1757811838,88.00,86.80,High
1757811838,60.00,80.91,High
1757811838,60.00,76.31,Moderate
1757811838,88.00,78.88,Moderate
1757811838,45.99,71.64,Moderate
1757811838,60.00,69.08,Moderate
1757811838,60.00,67.08,Moderate
1757811838,88.00,71.69,Moderate
1757811838,60.00,69.12,Moderate
1757811838,88.00,73.27,Moderate
1757811838,60.00,70.35,Moderate
1757811838,60.00,68.07,Moderate
1757811838,60.00,66.30,Moderate
1757811838,39.62,60.43,Moderate
1757811838,41.34,56.23,Moderate
1757811838,60.00,57.06,Moderate
1757811838,88.00,63.87,Moderate
1757811838,88.00,69.18,Moderate
1757811838,60.00,67.16,Moderate
1757811838,88.00,71.74,Moderate
1757811838,88.00,75.32,Moderate
1757811838,88.00,78.11,Moderate
1757811838,88.00,80.28,High
1757811838,88.00,81.98,High
1757811838,88.00,83.31,High
1757811838,88.00,84.34,High
1757811838,88.00,85.14,High
1757811838,60.00,79.61,Moderate
1757811839,88.00,81.46,High
1757811839,88.00,82.90,High
1757811839,88.00,84.02,High
1757811839,88.00,84.90,High
1757811839,88.00,85.58,High
1757811839,88.00,86.11,High
1757811839,88.00,86.53,High
1757811839,88.00,86.85,High
1757811839,88.00,87.10,High
1757811839,88.00,87.30,High
1757811839,88.00,87.45,High
1757811839,88.00,87.57,High
1757811839,88.00,87.67,High
1757811839,88.00,87.74,High
1757811839,88.00,87.80,High
1757811839,88.00,87.84,High
1757811839,43.03,77.98,Moderate
1757811839,88.00,80.19,High
1757811839,88.00,81.91,High
1757811839,88.00,83.25,High
1757811839,88.00,84.29,High
1757811839,88.00,85.11,High
1757811839,88.00,85.74,High
1757811839,88.00,86.24,High
1757811839,88.00,86.63,High
1757811839,88.00,86.93,High
1757811839,40.09,76.63,Moderate
1757811839,36.10,67.71,Moderate
1757811839,88.00,72.17,Moderate
1757811839,88.00,75.66,Moderate
1757811840,21.98,63.85,Moderate
1757811840,15.10,53.12,Mild
1757811840,12.11,44.10,Mild
1757811840,5.66,35.64,Mild
1757811840,4.59,28.81,Mild
1757811840,4.50,23.46,Mild
1757811840,0.00,18.30,Mild
1757811840,13.47,17.24,Mild
1757811840,5.94,14.75,Mild
1757811840,88.00,30.87,Mild
1757811840,5.00,25.18,Mild
1757811840,5.66,20.88,Mild
1757811840,88.00,35.65,Mild
1757811840,5.01,28.91,Mild
1757811840,12.49,25.30,Mild
1757811840,7.60,21.40,Mild
1757811840,88.00,36.06,Mild
1757811840,88.00,47.48,Mild
1757811840,88.00,56.40,Moderate
1757811840,88.00,63.35,Moderate
1757811840,88.00,68.77,Moderate
1757811840,88.00,73.00,Moderate
1757811840,88.00,76.30,Moderate
1757811840,88.00,78.88,Moderate
1757811840,88.00,80.88,High
1757811840,88.00,82.45,High
1757811840,88.00,83.67,High
1757811840,88.00,84.62,High
1757811840,88.00,85.37,High
1757811840,88.00,85.95,High
1757811841,88.00,86.40,High
1757811841,88.00,86.75,High
1757811841,88.00,87.02,High
1757811841,88.00,87.24,High
1757811841,88.00,87.41,High
1757811841,88.00,87.54,High
1757811841,88.00,87.64,High
1757811841,88.00,87.72,High
1757811841,88.00,87.78,High
1757811841,88.00,87.83,High
1757811841,88.00,87.87,High
1757811841,88.00,87.90,High
